movieId,title,clean_title,year,genres,tmdbId,imdbId,in_cf_model
1,Toy Story (1995),Toy Story,1995.0,Adventure|Animation|Children|Comedy|Fantasy,862.0,114709,True
2,Jumanji (1995),Jumanji,1995.0,Adventure|Children|Fantasy,8844.0,113497,True
3,Grumpier Old Men (1995),Grumpier Old Men,1995.0,Comedy|Romance,15602.0,113228,True
4,Waiting to Exhale (1995),Waiting to Exhale,1995.0,Comedy|Drama|Romance,31357.0,114885,True
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995.0,Comedy,11862.0,113041,True
6,Heat (1995),Heat,1995.0,Action|Crime|Thriller,949.0,113277,True
7,Sabrina (1995),Sabrina,1995.0,Comedy|Romance,11860.0,114319,True
8,Tom and Huck (1995),Tom and Huck,1995.0,Adventure|Children,45325.0,112302,True
9,Sudden Death (1995),Sudden Death,1995.0,Action,9091.0,114576,True
10,GoldenEye (1995),GoldenEye,1995.0,Action|Adventure|Thriller,710.0,113189,True
11,"American President, The (1995)","American President, The",1995.0,Comedy|Drama|Romance,9087.0,112346,True
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995.0,Comedy|Horror,12110.0,112896,True
13,Balto (1995),Balto,1995.0,Adventure|Animation|Children,21032.0,112453,True
14,Nixon (1995),Nixon,1995.0,Drama,10858.0,113987,True
15,Cutthroat Island (1995),Cutthroat Island,1995.0,Action|Adventure|Romance,1408.0,112760,True
16,Casino (1995),Casino,1995.0,Crime|Drama,524.0,112641,True
17,Sense and Sensibility (1995),Sense and Sensibility,1995.0,Drama|Romance,4584.0,114388,True
18,Four Rooms (1995),Four Rooms,1995.0,Comedy,5.0,113101,True
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995.0,Comedy,9273.0,112281,True
20,Money Train (1995),Money Train,1995.0,Action|Comedy|Crime|Drama|Thriller,11517.0,113845,True
21,Get Shorty (1995),Get Shorty,1995.0,Comedy|Crime|Thriller,8012.0,113161,True
22,Copycat (1995),Copycat,1995.0,Crime|Drama|Horror|Mystery|Thriller,1710.0,112722,True
23,Assassins (1995),Assassins,1995.0,Action|Crime|Thriller,9691.0,112401,True
